genus_species	chroquetas_organism
Arthroderma vanbreuseghemii	Arthroderma_vanbreuseghemii
Aspergillus awamori	Aspergillus_awamori
Aspergillus fumigatus	Aspergillus_fumigatus
Aspergillus niger	Aspergillus_niger
Aspergillus terreus	Aspergillus_terreus
Aspergillus tubingensis	Aspergillus_tubingensis
Beauveria bassiana	Beauveria_bassiana
Blumeria graminis	Blumeria_graminis
Blumeria graminis_hordei	Blumeria_graminis_hordei
Blumeria graminis_tritici	Blumeria_graminis_tritici
Botrytis cinerea	Botrytis_cinerea
Candida albicans	Candida_albicans
Candida dubliniensis	Candida_dubliniensis
Candida metapsilosis	Candida_metapsilosis
Candida orthopsilosis	Candida_orthopsilosis
Candida parapsilosis	Candida_parapsilosis
Candida tropicalis	Candida_tropicalis
Candidozyma auris	Candidozyma_auris
Cercospora beticola	Cercospora_beticola
Clavispora lusitaniae	Clavispora_lusitaniae
Colletotrichum acutatum	Colletotrichum_acutatum
Colletotrichum fructicola	Colletotrichum_fructicola
Colletotrichum gloeosporioides	Colletotrichum_gloeosporioides
Colletotrichum graminicola	Colletotrichum_graminicola
Colletotrichum siamense	Colletotrichum_siamense
Corynespora cassiicola	Corynespora_cassiicola
Cryptococcus deuterogattii	Cryptococcus_deuterogattii
Cryptococcus neoformans	Cryptococcus_neoformans
Erysiphe necator	Erysiphe_necator
Fusarium fujikuroi	Fusarium_fujikuroi
Fusarium graminearum	Fusarium_graminearum
Fusarium incarnatum	Fusarium_incarnatum
Fusarium pseudograminearum	Fusarium_pseudograminearum
Histoplasma capsulatum	Histoplasma_capsulatum
Kluyveromyces marxianus	Kluyveromyces_marxianus
Magnaporthe grisea	Magnaporthe_grisea
Monilinia fructicola	Monilinia_fructicola
Mycosphaerella fijiensis	Mycosphaerella_fijiensis
Nakaseomyces glabratus	Nakaseomyces_glabratus
Passalora fulva	Passalora_fulva
Phaeosphaeria nodorum	Phaeosphaeria_nodorum
Phakopsora pachyrhizi	Phakopsora_pachyrhizi
Pichia kudriavzevii	Pichia_kudriavzevii
Pneumocystis jirovecii	Pneumocystis_jirovecii
Puccinia triticina	Puccinia_triticina
Pyrenopeziza brassicae	Pyrenopeziza_brassicae
Saccharomyces cerevisiae	Saccharomyces_cerevisiae
Saccharomyces paradoxus	Saccharomyces_paradoxus
Tapesia acuformis	Tapesia_acuformis
Tapesia yallundae	Tapesia_yallundae
Trichophyton indotineae	Trichophyton_indotineae
Trichophyton interdigitale	Trichophyton_interdigitale
Trichophyton mentagrophytes	Trichophyton_mentagrophytes
Trichophyton rubrum	Trichophyton_rubrum
Ustilaginoidea virens	Ustilaginoidea_virens
Venturia inaequalis	Venturia_inaequalis
Zymoseptoria tritici	Zymoseptoria_tritici
