genus	mean_size_bp	num_genomes
Abiotrophia	1996427	5
Absicoccus	2222132	1
Absiella	4361076	6
Abyssalbus	4365036	1
Abyssibius	3208812	1
Abyssicoccus	1770983	2
Abyssogena	1542177	1
Acaryochloris	7040081	6
Accumulibacter	4064569	39
Acerihabitans	5644927	1
Acetanaerobacterium	2916215	1
Aceticella	2267618	1
Acetilactobacillus	1616430	1
Acetitomaculum	3082721	1
Acetivibrio	3989119	18
Acetoanaerobium	2664349	5
Acetobacter	3312698	74
Acetobacteraceae	3787279	4
Acetobacterium	3927543	12
Acetobacteroides	3861100	1
Acetohalobium	2469596	1
Acetomicrobium	1773104	8
Acetonema	4323011	1
Acholeplasma	1415113	11
Achromobacter	6520685	239
Acidaminobacter	3615609	1
Acidaminococcaceae	2599783	1
Acidaminococcus	2280073	26
Acidibrevibacterium	3908499	2
Acididesulfobacillus	4520225	1
Acidiferrimicrobium	5076293	1
Acidiferrobacter	3350334	2
Acidihalobacter	3695328	4
Acidiluteibacter	3517574	1
Acidilutibacter	3743723	1
Acidimicrobium	2158157	1
Acidiphilium	3969051	14
Acidipila	4213726	1
Acidipropionibacterium	3349536	16
Acidisarcina	7600726	1
Acidisoma	5915610	3
Acidisphaera	6204432	3
Aciditerrimonas	2703651	2
Acidithiobacillus	2967866	40
Acidobacteriaceae	6130370	2
Acidobacteriia	2751946	1
Acidobacterium	4518973	3
Acidocella	3581386	6
Acidomonas	3562423	2
Acidothermus	2443540	1
Acidovorax	4811858	74
Aciduricibacillus	2730537	1
Acinetobacter	3914650	5597
Acrocarpospora	11224789	6
Actibacterium	4110839	3
Actimicrobium	4236534	2
Actinacidiphila	8970235	28
Actinoallomurus	10709230	10
Actinoalloteichus	6719668	7
Actinobacillus	2332690	119
Actinobacteria	2237153	6
Actinobaculum	2318167	5
Actinocatenispora	7448917	6
Actinocorallia	7322035	5
Actinocrispum	11682058	2
Actinokineospora	7530479	23
Actinomadura	9090086	91
Actinomarinicola	3715454	1
Actinomyces	2955501	147
Actinomycetaceae	2430444	1
Actinomycetales	2793418	1
Actinomycetes	2281084	2
Actinomycetospora	6269372	14
Actinophytocola	7674533	4
Actinoplanes	9837783	85
Actinopolymorpha	7449127	6
Actinopolyspora	4999253	8
Actinorhabdospora	7221719	1
Actinorugispora	5253007	1
Actinospica	9918887	1
Actinosynnema	8632028	16
Actinotalea	3734714	8
Actinotignum	2108957	12
Actomonas	6109182	1
Acutalibacter	3344860	6
Acuticoccus	5428000	3
Adhaeretor	5996859	1
Adhaeribacter	6212102	4
Adlercreutzia	2775442	20
Adonisia	8775607	2
Advenella	4192269	7
Aedoeadaptatus	1811788	6
Aegicerativicinus	4094245	1
Aeoliella	6608792	1
Aequoribacter	3095392	1
Aequorivita	3468635	13
Aeribacillus	3854514	16
Aerococcus	2016151	90
Aerolutibacter	3359359	1
Aeromicrobium	3537595	40
Aeromonas	4692718	975
Aerophototrophica	3664154	1
Aerosticca	2874969	1
Aestuariibacter	4143688	2
Aestuariibaculum	3915480	7
Aestuariibius	3520587	1
Aestuariimicrobium	3150316	1
Aestuariispira	4592839	2
Aestuariivirga	5040947	3
Aestuarium	3336108	1
Aetokthonos	9034302	4
Affinibrenneria	5890037	1
Afifella	3934280	3
Afipia	4599803	10
Agaribacter	4303519	3
Agaribacterium	4280525	1
Agarilytica	7113812	1
Agarivorans	4790388	9
Agathobacter	3314290	78
Agathobaculum	3026079	11
Aggregatibacter	2231943	94
Aggregatilinea	6005279	3
Aggregatimonas	4723614	1
Aggregicoccus	6926196	1
Agreia	3594502	2
Agrilactobacillus	3156634	2
Agrilutibacter	3503239	3
Agriterribacter	5150933	3
Agrobacterium	5672093	342
Agrococcus	2903013	18
Agromyces	3900323	64
Ahniella	6120935	1
Ahrensia	3543668	3
Aidingimonas	3902114	4
Akkermansia	2910655	288
Akkermansiaceae	3109783	1
Albimonas	6027197	1
Alcaligenaceae	4717417	2
Alcaligenes	4093169	67
Alcanivorax	3663302	31
Algibacillus	5409267	1
Algibacter	4207337	14
Algicella	3994758	1
Algicola	4341282	1
Algihabitans	4710425	2
Algimonas	3175139	3
Alginatibacterium	4474452	1
Algisphaera	4170210	1
Algivirga	5509143	1
Algoriella	3121114	4
Algoriphagus	4816936	53
Aliagarivorans	4645807	2
Aliamphritea	5094336	4
Aliarcobacter	2119634	139
Alicycliphilus	4824352	5
Alicyclobacillus	4066401	28
Alienimonas	5385420	2
Aliibacillus	2778571	2
Aliicoccus	2064808	2
Aliidiomarina	2787128	2
Aliifodinibius	6439411	1
Aliiglaciecola	4497230	4
Aliikangiella	6212188	2
Aliirhizobium	5791981	4
Aliiroseovarius	3393832	15
Aliisedimentitalea	5083900	1
Aliivibrio	4297027	79
Alishewanella	3754864	3
Alistipes	3098829	308
Alitiscatomonas	3399574	1
Alkalibacillus	2844714	3
Alkalibacter	2390458	2
Alkalibacterium	2339223	9
Alkalibaculum	3098941	1
Alkalicella	3695371	1
Alkalicoccobacillus	4021436	5
Alkalicoccus	3559738	5
Alkaliflexus	4122270	1
Alkalihalobacillus	4358185	13
Alkalihalobacterium	5203000	2
Alkalihalophilus	4094960	6
Alkalilimnicola	3275944	1
Alkalimarinus	4473017	7
Alkalimonas	4007460	2
Alkaliphilus	4080138	5
Alkalispirillum	2952137	1
Alkalispirochaeta	3333683	2
Alkalitalea	4666134	2
Alkalithermobacter	1835704	1
Alkanindiges	2842884	2
Allgaiera	4280693	1
Allisonella	1703212	2
Alloacidobacterium	6271114	1
Alloactinosynnema	7405112	1
Alloalcanivorax	4378065	12
Allobacillus	2601582	6
Allobaculum	2697410	4
Allobranchiibius	3552513	1
Allochromatium	3337398	3
Allocoleopsis	7966510	1
Allocoprobacillus	2931225	1
Allofournierella	3423095	9
Allofrancisella	1689561	7
Allofustis	1441290	1
Alloiococcus	1806596	1
Allokutzneria	8435528	5
Allomeiothermus	3395172	2
Allomuricauda	3867182	17
Allonocardiopsis	6972847	1
Allopontixanthobacter	2934197	1
Alloprevotella	2577536	3
Allopusillimonas	4148464	1
Allorhizobium	5433206	7
Allorhodopirellula	6987327	2
Allosaccharopolyspora	4832009	1
Alloscardovia	1825424	12
Allosediminivita	4845108	1
Allosphingosinicella	2807353	1
Alloyangia	5535705	3
Alphaproteobacteria	2473848	2
Alsobacter	5345180	2
Alteracholeplasma	1554229	1
Alteraurantiacibacter	3772944	1
Altererythrobacter	2956067	17
Alteribacillus	4284972	6
Alteribacter	4173122	4
Altericista	5791642	1
Altericroceibacterium	3474520	1
Alterinioella	4071611	1
Alteripontixanthobacter	2863572	1
Alteriqipengyuania	2718770	2
Alterisphingorhabdus	3267098	1
Alteromonadaceae	5313198	2
Alteromonadales	3992016	1
Alteromonas	4483201	135
Altibacter	3160033	1
Alysiella	2451167	6
Amaricoccus	4008376	11
Amazonocrinis	8256472	1
Amedibacillus	2149315	4
Amedibacterium	2637868	6
Aminicella	2286758	1
Aminipila	3272145	6
Aminithiophilus	3108337	1
Aminivibrio	2988997	3
Aminobacter	5986612	23
Aminobacterium	2060360	12
Aminomonas	2630170	1
Ammonifex	2157067	1
Ammoniphilus	5927812	2
Amnibacterium	3245944	1
Amniculibacterium	2839245	1
Amorphus	4317545	1
Amphibacillus	3170055	4
Amphritea	4375998	10
Amycolatopsis	9638002	191
Amygdalobacter	1548528	4
Amylibacter	3294518	2
Amylolactobacillus	1571962	3
Anabaena	6005096	19
Anabaenopsis	5782576	2
Anaeroarcus	3338457	1
Anaerobacillus	4905165	3
Anaerobacterium	4927187	1
Anaerobiospirillum	3643404	2
Anaerobium	4609043	1
Anaerobranca	2300172	1
Anaerobutyricum	3390854	13
Anaerococcus	1952566	43
Anaerocolumna	5581704	12
Anaerofustis	2149137	6
Anaeroglobus	1691983	2
Anaerohalosphaera	4250973	1
Anaerolinea	3558212	4
Anaerolineaceae	2945494	1
Anaeromassilibacillus	2799676	9
Anaeromicrobium	4710588	1
Anaeromicropila	4655914	2
Anaeromusa	3191370	2
Anaeromyxobacter	5299822	13
Anaeropeptidivorans	3757330	1
Anaeroplasma	2199979	1
Anaerorhabdus	2182676	16
Anaerosalibacter	2901401	3
Anaerosolibacter	5180073	1
Anaerosphaera	1607714	1
Anaerospora	4377773	7
Anaerosporobacter	4682376	2
Anaerostipes	3111592	44
Anaerotignum	2699093	15
Anaerotruncus	3386984	39
Anaerovibrio	2513330	6
Anaerovirgula	5388996	1
Anaerovorax	3263520	1
Anaplasma	1325901	25
Anatilimnocola	9007740	1
Ancylobacter	4949787	20
Ancylomarina	4202869	2
Ancylothrix	6576381	1
Anderseniella	4613965	1
Andreprevotia	4887604	2
Aneurinibacillus	4795054	33
Angelakisella	4041781	1
Angustibacter	4052606	3
Anoxybacillus	2925048	28
Anoxybacter	3557532	1
Anoxybacteroides	3498697	7
Anoxynatronum	4163741	1
Anseongella	4322684	1
Antarcticibacterium	4048622	3
Antarctobacter	5252782	2
Anthocerotibacter	4187797	1
Anthropogastromicrobium	3823105	1
Antiquaquibacter	2895552	1
Antrihabitans	6473695	3
Aphanizomenon	5868614	3
Apibacter	2344798	20
Apilactobacillus	1569310	93
Aporhodopirellula	8810200	2
Aquabacter	5100554	4
Aquabacterium	4016870	16
Aquamicrobium	4231041	8
Aquariibacter	3170728	2
Aquaspirillum	3962240	1
Aquaticitalea	3144529	1
Aquella	2820660	1
Aquibacillus	4014271	2
Aquibaculum	3490371	1
Aquibium	5816817	4
Aquicella	2662483	3
Aquicoccus	3617740	3
Aquidulcibacter	3289177	1
Aquifex	1590791	1
Aquiflexum	5681714	3
Aquihabitans	4938963	1
Aquiluna	1411027	2
Aquilutibacter	2144690	2
Aquimarina	5379426	36
Aquimonas	4428167	1
Aquincola	6714842	2
Aquipluma	5712279	1
Aquipseudomonas	4736548	11
Aquipuribacter	4260932	2
Aquirhabdus	3777352	1
Aquirufa	2818725	26
Aquisalimonas	4068541	3
Aquisalinus	3362133	3
Aquisediminimonas	3406525	1
Aquisphaera	10526296	1
Aquitalea	4442327	7
Arabiibacter	3377915	2
Arachidicoccus	4627191	5
Arachnia	3374470	11
Arcanobacterium	2007748	15
Archangium	12822407	8
Arcicella	5624306	2
Arcobacter	2423153	46
Arcticibacter	5175261	2
Arcticibacterium	5379839	1
Ardenticatena	3569367	1
Areca	625107	1
Arenibacter	5136046	16
Arenibacterium	4628000	1
Arenibaculum	6516662	1
Arenicella	4236022	2
Arenimonas	2858904	9
Argonema	7473283	3
Arhodomonas	4258318	2
Aristaeella	3394085	3
Aristophania	2042558	2
Armatimonadetes	2814106	5
Armatimonas	6325924	1
Aromatoleum	5045950	7
Arsenicibacter	7560024	1
Arsenicicoccus	3686056	11
Arsenophonus	3388364	18
Arsukibacterium	3880636	8
Arthrobacter	4319918	286
Arthrospira	6356957	6
Arundinibacter	5828278	1
Asaccharospora	2622699	1
Asaia	3416060	11
Asanoa	8411724	6
Asinibacterium	3741992	2
Aster	723970	1
Asticcacaulis	4081052	12
Athalassotoga	2044999	1
Atlantibacter	4463068	100
Atlanticothrix	6527020	1
Atopobacter	2207974	1
Atopobiaceae	1997724	2
Atopobium	1843190	8
Atopococcus	2267201	1
Atopomonas	3618458	2
Atopostipes	2124342	1
Atribacter	2722146	2
Aulosira	9353054	1
Aurantiacibacter	3097132	9
Aurantibacillus	4604442	1
Aurantibacter	3321516	3
Aurantimicrobium	1719901	8
Aurantimonas	4936949	14
Auraticoccus	4131830	2
Aureibacillus	4382167	1
Aureibacter	6153288	2
Aureibaculum	4370476	2
Aureicoccus	3052917	1
Aureimonas	4525817	16
Aureispira	7592392	2
Aureivirga	4373022	2
Aureliella	8439957	1
Auritidibacter	2682870	10
Austwickia	3632372	2
Avibacterium	2527727	63
Azoarcus	5087885	8
Azohydromonas	6794214	4
Azomonas	3681235	2
Azonexus	3448311	8
Azorhizobium	5764629	4
Azorhizophilus	4679424	2
Azospira	3693997	8
Azospirillum	7102887	67
Azotobacter	5104751	25
Azovibrio	3988362	2
BD1-7	5282006	2
Baaleninema	6152351	1
Bacillaceae	4916067	3
Bacillales	2961365	2
Bacilli	3564998	2
Bacilliculturomica	4516356	1
Bacillota	3223659	6
Bacillus	4997414	7721
Bacterioplanes	4063131	2
Bacterioplanoides	3904512	1
Bacteriovorax	3933725	4
Bacteroidaceae	4389905	6
Bacteroidales	4073927	15
Bacteroides	5580437	2472
Bacteroidetes	1715629	2
Baekduia	5537748	2
Baileyella	2137287	1
Bailinhaonella	8989662	1
Balnearium	1727484	1
Balneatrix	3654252	2
Balneicella	2089523	1
Bariatricus	4219447	1
Barnesiella	3309222	41
Barrientosiimonas	3644362	2
Bartonella	2099212	367
Basfia	2267439	3
Basilea	1959069	1
Bathymodiolus	2307157	11
Baumannia	686194	1
Bdellovibrio	3758393	33
Beduinella	4182568	1
Beduini	2775613	1
Beggiatoa	3532745	4
Beijerinckia	4803934	3
Beijerinckiaceae	4097410	4
Belliella	4433165	8
Bellilinea	3698317	1
Belnapia	6345264	6
Bengtsoniella	3827159	1
Bergeyella	2277487	8
Bermanella	3609596	5
Bernardetia	5375047	6
Berryella	1885100	2
Betaproteobacteria	3833277	2
Beutenbergia	4669183	1
Bhargavaea	3062149	4
Bibersteinia	2382887	7
Bifidobacteriaceae	1664590	12
Bifidobacterium	2269778	1638
Billgrantia	4654870	10
Bilophila	4231009	10
Biomaibacter	3398411	1
Bisgaardia	2117308	2
Bittarella	3003843	3
Bizionia	3206541	5
Blastochloris	3781021	4
Blastococcus	4588553	15
Blastomonas	3762177	8
Blastopirellula	6678293	5
Blattabacterium	620665	92
Blautia	4059609	292
Blochmannia	779273	14
Bombella	1922000	4
Bombilactobacillus	1713690	11
Bombiscardovia	1937113	1
Bordetella	4135026	1142
Borrelia	1251771	95
Borreliella	1070550	230
Bosea	5860172	46
Boseongicola	3444075	1
Botrimarina	5153954	3
Boudabousia	2026093	3
Bovifimicola	3027291	1
Bowdeniella	2631064	2
Bowmanella	5174037	5
Brachybacterium	3764675	53
Brachymonas	2454572	6
Brachyspira	2899731	60
Brackiella	1922095	1
Bradymonadaceae	5366856	1
Bradymonadales	5357521	1
Bradymonas	5025887	2
Bradyrhizobiaceae	4336393	1
Bradyrhizobium	8615420	451
Brasilonema	7854294	9
Bremerella	6620785	4
Brenneria	4906432	16
Breoghania	4663597	3
Brevefilum	2574431	1
Brevibacillus	5728670	133
Brevibacterium	3789465	100
Brevinema	1501400	1
Brevirhabdus	3380897	2
Brevundimonas	3217309	187
Breznakia	2461343	1
Breznakibacter	4380952	1
Breznakiella	4646109	1
Brochothrix	2540004	14
Brockia	1879126	1
Brooklawnia	3406118	4
Brotomerdimonas	2648172	1
Brotonthovivens	3452403	1
Brucella	3585090	568
Brucepastera	3239032	1
Brumimicrobium	3635107	2
Brunnivagina	7006470	1
Bryobacterales	6692160	1
Buchananella	2424492	7
Buchnera	546768	135
Budvicia	5668731	1
Bulleidia	1545033	1
Burkholderia	7255667	2241
Burkholderiaceae	7586503	2
Burkholderiales	3283520	9
Buttiauxella	5071888	9
Butyribacter	3595726	4
Butyricicoccus	3092506	28
Butyricimonas	4957396	52
Butyrivibrio	4098505	48
Bythopirellula	6308460	2
Caballeronia	7600200	36
Caecibacter	2650542	1
Caedibacter	1323505	1
Caenibius	3924783	2
Caenimonas	4704954	3
Caenispirillum	5034490	3
Caldalkalibacillus	3143339	3
Caldanaerobacter	2503084	3
Caldanaerobius	2630314	2
Caldanaerovirga	2264710	1
Calderihabitans	3064849	1
Caldibacillus	3689644	8
Caldicellulosiruptor	2712359	15
Caldichromatium	2989870	1
Caldicoprobacter	2579145	1
Caldifermentibacillus	3919359	16
Caldilinea	5361582	5
Caldimicrobium	1814952	1
Caldimonas	4097735	14
Caldinitratiruptor	3599694	1
Caldisericum	1558103	1
Calditerrivibrio	2216552	1
Caldithrix	4966990	2
Caldovatus	4797000	1
Calidifontibacillus	3575797	1
Calidifontibacter	3493290	1
Calidithermus	3939796	2
Caloramator	2772151	6
Caloranaerobacter	2500712	2
Calothrix	9229155	15
Calycomorphotria	5163473	1
Camelimonas	4525323	3
Camelliibacillus	3536314	1
Caminibacter	1778726	2
Caminicella	2478090	2
Campylobacter	1728582	2129
Candidatus	1825210	871
Candidimonas	4713901	1
Canicola	2296682	1
Capillimicrobium	5953270	1
Capnocytophaga	2717411	71
Caproicibacter	3763880	2
Caproicibacterium	2371857	6
Caproiciproducens	3265727	4
Capsulimonas	7645051	1
Carbonactinospora	5014930	1
Carboxydocella	2679808	4
Carboxydochorda	3313549	1
Carboxydothermus	2423937	4
Carboxylicivirga	5435563	1
Cardidatus	1956558	1
Cardinium	1112480	7
Cardiobacterium	2602579	8
Carnobacterium	3003827	56
Casaltella	2375244	1
Casimicrobium	4465898	1
Castellaniella	3106562	34
Catalinimonas	7495478	3
Catellatospora	8894449	17
Catelliglobosispora	7688589	1
Catenibacillus	3872981	1
Catenibacterium	2610887	27
Catenisphaera	1998595	1
Catenovulum	4741930	4
Catenulispora	10704064	3
Catenuloplanes	9528617	2
Catonella	3479204	1
Caulifigura	6761146	1
Caulobacter	4915539	43
Cecembia	4747752	1
Cedecea	5002491	15
Celeribacter	3934248	18
Celerinatantimonas	3987286	2
Cellulomonas	4020525	68
Cellulophaga	4249758	22
Cellulosilyticum	4782215	3
